,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Location
175440,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,791,Monday,20,Part Two,WASHINGTON ST,"(42.34885012, -71.15982522)"
175441,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,956,Monday,20,Part Three,WASHINGTON ST,"(42.34266946, -71.14098779)"
175442,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,418,Monday,19,Part Three,TREMONT ST,"(42.33402461, -71.09039049)"
175443,2629,Harassment,HARASSMENT,B3,434,Monday,20,Part Two,NORFOLK ST,"(42.28406220, -71.08170839)"
175444,3114,Investigate Property,INVESTIGATE PROPERTY,B3,434,Monday,20,Part Three,NORFOLK ST,"(42.28406220, -71.08170839)"
175445,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,572,Monday,19,Part Three,COLUMBUS AVE,"(42.31506898, -71.09746579)"
175446,2647,Other,THREATS TO DO BODILY HARM,E18,513,Monday,19,Part Two,HIGHLAND ST,"(42.25339978, -71.11179254)"
175448,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D4,284,Monday,19,Part Two,COLUMBUS AVE,"(42.34060371, -71.08174185)"
175449,2906,Violations,VAL - OPERATING UNREG/UNINS †CAR,D4,284,Monday,19,Part Two,COLUMBUS AVE,"(42.34060371, -71.08174185)"
175450,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,D4,284,Monday,19,Part Two,COLUMBUS AVE,"(42.34060371, -71.08174185)"
175451,3125,Warrant Arrests,WARRANT ARREST,D4,284,Monday,19,Part Three,COLUMBUS AVE,"(42.34060371, -71.08174185)"
175452,3007,Medical Assistance,SUDDEN DEATH,C11,353,Monday,17,Part Three,VICTORY RD,"(42.29760132, -71.05033577)"
175453,3301,Verbal Disputes,VERBAL DISPUTE,B3,430,Monday,19,Part Three,LUCERNE ST,"(42.28524659, -71.08905094)"
175455,2629,Harassment,HARASSMENT,E18,501,Monday,19,Part Two,HYDE PARK AVE,"(42.27926700, -71.11900247)"
175456,3125,Warrant Arrests,WARRANT ARREST,D4,270,Monday,17,Part Three,NORTHAMPTON ST,"(42.33395125, -71.07538939)"
175457,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,270,Monday,17,Part Two,NORTHAMPTON ST,"(42.33395125, -71.07538939)"
175458,613,Larceny,LARCENY SHOPLIFTING,D4,142,Monday,18,Part One,NEWBURY ST,"(42.34840576, -71.08688339)"
175459,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,C11,391,Monday,19,Part Two,HARRISON AVE,"(42.33954199, -71.06940877)"
175460,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,146,Monday,18,Part Three,SAINT BOTOLPH ST,"(42.34561901, -71.07990847)"
175461,3301,Verbal Disputes,VERBAL DISPUTE,C11,817,Monday,18,Part Three,ARGYLE TER,"(42.28870235, -71.06530713)"
175462,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,817,Monday,18,Part Three,ARGYLE TER,"(42.28870235, -71.06530713)"
175463,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,340,Monday,18,Part One,DRAPER ST,"(42.30540715, -71.06547135)"
175464,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY †DAMAGE,C11,404,Monday,18,Part Three,DORCHESTER AVE,"(42.27990988, -71.06593996)"
175465,3201,Property Lost,PROPERTY - LOST,B3,417,Monday,9,Part Three,ARMANDINE ST,"(42.28431486, -71.07410838)"
175466,3114,Investigate Property,INVESTIGATE PROPERTY,E13,574,Monday,16,Part Three,WASHINGTON ST,"(42.30971857, -71.10429432)"
175467,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,C11,367,Monday,18,Part Two,HANCOCK ST,"(42.31043400, -71.06134010)"
175468,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,793,Monday,17,Part One,BRAINERD RD,"(42.34901109, -71.13042369)"
175469,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,170,Sunday,20,Part Three,W SPRINGFIELD ST,"(42.33739824, -71.07682106)"
175470,3114,Investigate Property,INVESTIGATE PROPERTY,D4,625,Monday,17,Part Three,QUEENSBERRY ST,"(42.34314406, -71.09589305)"
175471,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,111,Monday,17,Part Two,BOYLSTON ST,"(42.35236776, -71.06454338)"
175472,1874,Drug Violation,DRUGS - OTHER,A1,111,Monday,17,Part Two,BOYLSTON ST,"(42.35236776, -71.06454338)"
175473,3115,Investigate Person,INVESTIGATE PERSON,A1,111,Monday,17,Part Three,BOYLSTON ST,"(42.35236776, -71.06454338)"
175474,3125,Warrant Arrests,WARRANT ARREST,A1,111,Monday,17,Part Three,BOYLSTON ST,"(42.35236776, -71.06454338)"
175475,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,111,Monday,17,Part Two,BOYLSTON ST,"(42.35236776, -71.06454338)"
175476,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,278,Monday,18,Part Two,HARRISON AVE,"(42.33153805, -71.08015661)"
175477,2647,Other,THREATS TO DO BODILY HARM,B2,278,Monday,18,Part Two,HARRISON AVE,"(42.33153805, -71.08015661)"
175478,3102,Other,INVESTIGATION FOR ANOTHER AGENCY,E5,675,Monday,18,Part Three,CONGREVE ST,"(42.28942828, -71.13835951)"
175479,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E5,675,Monday,18,Part Two,CONGREVE ST,"(42.28942828, -71.13835951)"
175480,2647,Other,THREATS TO DO BODILY HARM,B3,444,Monday,15,Part Two,ESMOND ST,"(42.29861988, -71.08511004)"
175482,2610,Other,TRESPASSING,A1,117,Monday,17,Part Two,LAGRANGE ST,"(42.35157221, -71.06353927)"
175483,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,472,Monday,17,Part One,BLUE HILL AVE,"(42.27386225, -71.09369539)"
175484,2905,Violations,VAL - OPERATING WITHOUT LICENSE,B2,180,Monday,17,Part Two,HAMPDEN ST,"(42.32829617, -71.07508786)"
175485,3125,Warrant Arrests,WARRANT ARREST,B2,180,Monday,17,Part Three,HAMPDEN ST,"(42.32829617, -71.07508786)"
175487,3115,Investigate Person,INVESTIGATE PERSON,E5,102,Monday,16,Part Three,WINTER ST,"(42.35602373, -71.06177615)"
175489,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,330,Monday,17,Part Two,BLUE HILL AVE,"(42.30433950, -71.08477887)"
175491,3207,Property Found,PROPERTY - FOUND,B2,600,Monday,15,Part Three,HUNTINGTON AVE,"(42.33700200, -71.09714001)"
175493,3410,Towed,TOWED MOTOR VEHICLE,A7,23,Monday,15,Part Three,PRINCETON ST,"(42.37766000, -71.03560198)"
175495,3114,Investigate Property,INVESTIGATE PROPERTY,B2,316,Monday,16,Part Three,WALNUT AVE,"(42.31527777, -71.09361838)"
175496,3125,Warrant Arrests,WARRANT ARREST,C11,367,Monday,16,Part Three,ADAMS ST,"(42.29519923, -71.05622834)"
175497,2629,Harassment,HARASSMENT,B3,444,Monday,14,Part Two,WALES ST,"(42.29752097, -71.08502291)"
175499,619,Larceny,LARCENY ALL OTHERS,A1,111,Monday,14,Part One,MASON ST,"(42.35353966, -71.06369320)"
175500,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,380,Sunday,16,Part Three,CHICKATAWBUT ST,"(42.28626592, -71.04799999)"
175501,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,117,Monday,15,Part One,WASHINGTON ST,"(42.35174282, -71.06275940)"
175502,616,Larceny,LARCENY THEFT OF BICYCLE,C6,200,Monday,10,Part One,W BROADWAY,"(42.34234193, -71.05633276)"
175503,2647,Other,THREATS TO DO BODILY HARM,C11,347,Monday,14,Part Two,EAST ST,"(42.30758168, -71.05883879)"
175504,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,511,Monday,16,Part Three,VOSE AVE,"(42.25653339, -71.11362352)"
175505,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,915,Monday,0,Part One,REV RICHARD A BURKE ST,"(42.33118812, -71.05094139)"
175506,3125,Warrant Arrests,WARRANT ARREST,C6,915,Monday,0,Part Three,REV RICHARD A BURKE ST,"(42.33118812, -71.05094139)"
175507,3301,Verbal Disputes,VERBAL DISPUTE,E18,522,Monday,16,Part Three,DANA AVE,"(42.25422187, -71.12491127)"
175508,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,C11,416,Monday,16,Part Two,FULLER ST,"(42.28202294, -71.07125917)"
175509,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,416,Monday,16,Part Two,FULLER ST,"(42.28202294, -71.07125917)"
175511,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,495,Monday,15,Part Three,WESTMINSTER ST,"(42.26410274, -71.12214736)"
175512,3410,Towed,TOWED MOTOR VEHICLE,D4,145,Monday,14,Part Three,SAINT BOTOLPH ST,"(42.34348107, -71.08250256)"
175514,3502,Missing Person Located,MISSING PERSON - LOCATED,E18,520,Monday,16,Part Three,HYDE PARK AVE,"(42.25621592, -71.12401947)"
175515,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,Monday,15,Part Three,MASON ST,"(42.35353966, -71.06369320)"
175516,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E5,821,Monday,16,Part Three,ROCKLAND ST,"(42.25794970, -71.15874671)"
175517,3125,Warrant Arrests,WARRANT ARREST,C6,177,Monday,15,Part Three,NEW SUDBURY ST,"(42.36183857, -71.05976489)"
175518,613,Larceny,LARCENY SHOPLIFTING,C6,177,Monday,15,Part One,NEW SUDBURY ST,"(42.36183857, -71.05976489)"
175519,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,366,Monday,14,Part Three,EDWIN ST,"(42.28890049, -71.06266918)"
175520,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A7,4,Monday,15,Part Three,SARATOGA ST,"(42.38371689, -70.99858511)"
175521,3115,Investigate Person,INVESTIGATE PERSON,D4,619,Monday,15,Part Three,HUNTINGTON AVE,"(42.34221544, -71.08577075)"
175522,613,Larceny,LARCENY SHOPLIFTING,D4,143,Monday,14,Part One,BOYLSTON ST,"(42.34932471, -71.08014801)"
175523,801,Simple Assault,ASSAULT - SIMPLE,D4,129,Monday,13,Part Two,BOYLSTON ST,"(42.34862382, -71.08277637)"
175525,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING †BICYCLE - INJURY,B3,476,Monday,14,Part Three,BLUE HILL AVE,"(42.26817397, -71.09387677)"
175527,619,Larceny,LARCENY ALL OTHERS,B3,456,Sunday,1,Part One,HARLEM ST,"(42.30021684, -71.08097940)"
175528,1402,Vandalism,VANDALISM,B3,441,Monday,14,Part Two,BROWNING AVE,"(42.29415023, -71.08175047)"
175529,3301,Verbal Disputes,VERBAL DISPUTE,B3,441,Monday,14,Part Three,BROWNING AVE,"(42.29415023, -71.08175047)"
175530,613,Larceny,LARCENY SHOPLIFTING,C11,373,Monday,13,Part One,FREEPORT ST,"(42.29234068, -71.04803996)"
175531,1402,Vandalism,VANDALISM,D4,629,Monday,14,Part Two,BEACON ST,"(42.34677700, -71.10438600)"
175532,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,141,Monday,8,Part One,GLOUCESTER ST,"(42.34935318, -71.08423015)"
175534,3301,Verbal Disputes,VERBAL DISPUTE,D4,617,Monday,13,Part Three,HUNTINGTON AVE,"(42.33792266, -71.09526598)"
175535,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,778,Monday,14,Part Three,WASHINGTON ST,"(42.34905600, -71.15049850)"
175536,423,Aggravated Assault,ASSAULT - AGGRAVATED,C11,364,Monday,13,Part One,ADAMS TER,"(42.29547164, -71.05658551)"
175537,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,E18,494,Monday,14,Part Three,RIVER ST,"(42.25940183, -71.11731570)"
175542,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,909,Sunday,1,Part Two,RUGGLES ST,"(42.33445761, -71.08806100)"
175543,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,102,Monday,13,Part Three,WINTER ST,"(42.35602373, -71.06177615)"
175544,2608,Offenses Against Child / Family,CHINS,A7,33,Monday,14,Part Two,SUMNER ST,"(42.36701238, -71.03546020)"
175546,3207,Property Found,PROPERTY - FOUND,C6,226,Monday,13,Part Three,E FOURTH ST,"(42.33474924, -71.03631736)"
175547,2610,Other,TRESPASSING,C6,206,Monday,12,Part Two,NORTHERN AVE,"(42.35320826, -71.04647140)"
175548,616,Larceny,LARCENY THEFT OF BICYCLE,B2,612,Monday,13,Part One,LONGWOOD AVE,"(42.33744152, -71.10428096)"
175549,1402,Vandalism,VANDALISM,E13,608,Monday,13,Part Two,S HUNTINGTON AVE,"(42.33041036, -71.11148382)"
175550,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,774,Sunday,21,Part One,COMMONWEALTH AVE,"(42.33836272, -71.15441001)"
175551,1402,Vandalism,VANDALISM,B3, ,Monday,13,Part Two,CULBERT,"(0.00000000, 0.00000000)"
175553,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,303,Sunday,1,Part Three,COLUMBUS AVE,"(42.31614182, -71.09833064)"
175555,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,326,Monday,13,Part Two,LAWRENCE AVE,"(42.31161123, -71.07625600)"
175558,311,Robbery,ROBBERY - COMMERCIAL,B2,330,Monday,13,Part One,BLUE HILL AVE,"(42.30433950, -71.08477887)"
175559,3115,Investigate Person,INVESTIGATE PERSON,D4,92,Monday,12,Part Three,COURT ST,"(0.00000000, 0.00000000)"
175560,619,Larceny,LARCENY ALL OTHERS,B2,276,Monday,13,Part One,ALLSTATE RD,"(42.32809966, -71.06321676)"
175562,3410,Towed,TOWED MOTOR VEHICLE,C11,245,Monday,11,Part Three,GRANT ST,"(42.31814139, -71.05538869)"
175564,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,356,Monday,12,Part One,DORCHESTER AVE,"(42.29919694, -71.06046974)"
175565,1402,Vandalism,VANDALISM,B3,423,Monday,12,Part Two,RIVER ST,"(42.27061469, -71.08655479)"
175566,3301,Verbal Disputes,VERBAL DISPUTE,B2,238,Monday,12,Part Three,HUMPHREYS ST,"(42.31920512, -71.06676803)"
175567,3301,Verbal Disputes,VERBAL DISPUTE,A7,942,Monday,11,Part Three,VALLAR RD,"(42.39269663, -71.00842413)"
175569,2629,Harassment,HARASSMENT,A7,30,Monday,12,Part Two,SUMNER ST,"(42.36772441, -71.03706813)"
175575,1402,Vandalism,VANDALISM,A1,61,Sunday,8,Part Two,BEVERLY ST,"(42.36658726, -71.06019881)"
175576,1402,Vandalism,VANDALISM,A7,25,Sunday,21,Part Two,BROOKS ST,"(42.38136236, -71.03608833)"
175577,3114,Investigate Property,INVESTIGATE PROPERTY,A1,82,Monday,12,Part Three,COMMERCIAL ST,"(42.36727100, -71.05272807)"
175578,3301,Verbal Disputes,VERBAL DISPUTE,E5,713,Monday,11,Part Three,LINDEN RD,"(42.26580232, -71.16166577)"
175579,1402,Vandalism,VANDALISM,B3,434,Sunday,15,Part Two,STANTON ST,"(42.28411373, -71.07938717)"
175581,2906,Violations,VAL - OPERATING UNREG/UNINS †CAR,B2,280,Monday,11,Part Two,WARREN ST,"(42.32902469, -71.08341505)"
175583,3115,Investigate Person,INVESTIGATE PERSON,D14,787,Monday,10,Part Three,ENGLEWOOD AVE,"(42.33806539, -71.14695081)"
175585,3301,Verbal Disputes,VERBAL DISPUTE,C6,224,Monday,10,Part Three,P ST,"(42.33620256, -71.02718960)"
175586,617,Larceny,LARCENY THEFT FROM BUILDING,A1,117,Sunday,0,Part One,STUART ST,"(42.35103105, -71.06373331)"
175588,617,Larceny,LARCENY THEFT FROM BUILDING,D4,138,Monday,10,Part One,BOYLSTON ST,"(42.34980175, -71.07840978)"
175589,613,Larceny,LARCENY SHOPLIFTING,E13,304,Monday,9,Part One,COLUMBUS AVE,"(42.31771534, -71.09823049)"
175590,3114,Investigate Property,INVESTIGATE PROPERTY,B2,314,Monday,9,Part Three,HAROLD ST,"(42.31505773, -71.09091987)"
175591,3115,Investigate Person,INVESTIGATE PERSON,B2,312,Monday,10,Part Three,HOLLANDER ST,"(42.31568920, -71.08951391)"
175592,617,Larceny,LARCENY THEFT FROM BUILDING,C6,914,Monday,10,Part One,GENERAL LAWRENCE J LOGAN ,"(42.32779674, -71.05435602)"
175594,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,220,Monday,10,Part One,E FOURTH ST,"(42.33452990, -71.04592594)"
175595,3114,Investigate Property,INVESTIGATE PROPERTY,B2,332,Monday,10,Part Three,COLUMBIA RD,"(42.31363409, -71.06778025)"
175597,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,624,Monday,10,Part One,BOYLSTON ST,"(42.34601613, -71.09381210)"
175598,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY †DAMAGE,C11,362,Monday,9,Part Three,MELVILLE AVE,"(42.29328572, -71.07185722)"
175599,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,765,Monday,9,Part One,HOBART ST,"(42.35530377, -71.16135423)"
175601,3410,Towed,TOWED MOTOR VEHICLE,A1,88,Monday,8,Part Three,GARDEN COURT ST,"(42.36436093, -71.05330627)"
175603,3410,Towed,TOWED MOTOR VEHICLE,D4,131,Monday,9,Part Three,BEACON ST,"(42.35364992, -71.07909399)"
175604,3114,Investigate Property,INVESTIGATE PROPERTY,B2,330,Monday,10,Part Three,PASADENA RD,"(42.30576093, -71.08377157)"
175605,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,428,Monday,10,Part Two,LESTON ST,"(42.28349153, -71.08991288)"
175607,724,Auto Theft,AUTO THEFT,E13,572,Monday,9,Part One,COLUMBUS AVE,"(42.31506898, -71.09746579)"
175608,2610,Other,TRESPASSING,B3,439,Monday,9,Part Two,BLUE HILL AVE,"(42.29098335, -71.08912013)"
175610,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,537,Monday,8,Part Three,RALDNE RD,"(42.25503605, -71.14074664)"
175611,3410,Towed,TOWED MOTOR VEHICLE,D14,799,Monday,7,Part Three,CHESTER ST,"(42.35410505, -71.12792774)"
175612,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,322,Monday,8,Part Two,HOLBORN ST,"(42.31481749, -71.08141069)"
175613,617,Larceny,LARCENY THEFT FROM BUILDING,C11,358,Monday,8,Part One,GENEVA AVE,"(42.29848866, -71.06313294)"
175614,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,322,Monday,8,Part Two,HOLBORN ST,"(42.31481749, -71.08141069)"
175615,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,704,Monday,8,Part Three,EMMONSDALE RD,"(42.27694734, -71.15009300)"
175616,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,434,Monday,8,Part Three,NORFOLK ST,"(42.28457983, -71.08083310)"
175617,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,153,Sunday,12,Part One,WARREN AVE,"(42.34410905, -71.07517689)"
175618,301,Robbery,ROBBERY - STREET,B3,463,Monday,8,Part One,FRANKLIN HILL AVE,"(42.29421629, -71.08884654)"
175619,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,463,Monday,8,Part One,FRANKLIN HILL AVE,"(42.29421629, -71.08884654)"
175620,3301,Verbal Disputes,VERBAL DISPUTE,D4,271,Monday,8,Part Three,NORTHAMPTON ST,"(42.33558469, -71.07713044)"
175621,1402,Vandalism,VANDALISM,B3,465,Monday,6,Part Two,WILCOCK ST,"(42.28688930, -71.09222991)"
175623,3130,Search Warrants,SEARCH WARRANT,B3,465,Monday,4,Part Three,BLUE HILL AVE,"(42.28482577, -71.09137369)"
175625,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,387,Sunday,3,Part Three,ADAMS ST,"(42.27113353, -71.06819173)"
175627,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,A7,26,Monday,7,Part One,BORDER ST,"(42.38051931, -71.04020563)"
175628,3301,Verbal Disputes,VERBAL DISPUTE,B3,437,Monday,5,Part Three,ELMHURST ST,"(42.28904237, -71.07657020)"
175629,613,Larceny,LARCENY SHOPLIFTING,B2,613,Monday,5,Part One,BROOKLINE AVE,"(42.33670436, -71.10969856)"
175630,3410,Towed,TOWED MOTOR VEHICLE,A1,120,Monday,4,Part Three,ARLINGTON ST,"(42.35061995, -71.07009458)"
175631,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,464,Monday,5,Part Two,BLUE HILL AVE,"(42.29105647, -71.08933752)"
175632,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,270,Monday,3,Part Three,HARRISON AVE,"(42.33455374, -71.07560801)"
175633,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,322,Monday,3,Part Two,GASTON ST,"(42.31363545, -71.08251322)"
175634,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,B3,944,Monday,4,Part Two,AMES ST,"(42.28956988, -71.08510501)"
175635,3130,Search Warrants,SEARCH WARRANT,B3,944,Monday,4,Part Three,AMES ST,"(42.28956988, -71.08510501)"
175636,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,329,Monday,4,Part Three,DEVON ST,"(42.30812619, -71.07692974)"
175637,3114,Investigate Property,INVESTIGATE PROPERTY,C6, ,Monday,2,Part Three,WILLIAM J DAY BLVD,"(42.33206723, -71.02803815)"
175638,3301,Verbal Disputes,VERBAL DISPUTE,B3,421,Monday,3,Part Three,W SELDEN ST,"(42.27967492, -71.08381263)"
175639,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,270,Monday,2,Part Two,NORTHAMPTON ST,"(42.33395125, -71.07538939)"
175640,3115,Investigate Person,INVESTIGATE PERSON,D14,787,Monday,2,Part Three,SUTHERLAND RD,"(42.33901783, -71.14904284)"
175641,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,A7,19,Monday,2,Part Two,BENNINGTON ST,"(42.37546983, -71.03730221)"
175642,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,175,Monday,1,Part One,SOUTHAMPTON ST,"(42.33233682, -71.07129642)"
175645,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A7,23,Monday,1,Part Three,BROOKS ST,"(42.37805904, -71.03452735)"
175646,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,116,Monday,0,Part Two,BEACH ST,"(42.35131095, -71.06030942)"
175647,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,92,Monday,0,Part Three,COURT ST,"(0.00000000, 0.00000000)"
175648,2405,Disorderly Conduct,DISORDERLY CONDUCT,C6,213,Monday,0,Part Two,DORCHESTER ST,"(42.33560666, -71.04526922)"
175649,3111,License Violation,LICENSE PREMISE VIOLATION,C6,213,Monday,0,Part Three,DORCHESTER ST,"(42.33560666, -71.04526922)"
175650,301,Robbery,ROBBERY - STREET,A1,111,Monday,0,Part One,BOYLSTON ST,"(0.00000000, 0.00000000)"
175651,3008,Medical Assistance,SUICIDE / SUICIDE ATTEMPT,A7,28,Sunday,23,Part Three,PARIS ST,"(42.37081805, -71.03929078)"
175653,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,520,Monday,0,Part Three,HYDE PARK AVE,"(42.25621592, -71.12401947)"
175654,3301,Verbal Disputes,VERBAL DISPUTE,E5,563,Monday,0,Part Three,FIRTH RD,"(42.28789370, -71.12457277)"
175655,3114,Investigate Property,INVESTIGATE PROPERTY,C11,345,Monday,0,Part Three,HOMES AVE,"(42.30344073, -71.06674608)"
175656,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,385,Sunday,23,Part Three,GALLIVAN BLVD,"(42.28410589, -71.04608937)"
175657,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,C11,351,Sunday,23,Part Two,DORCHESTER AVE,"(42.29977582, -71.06029763)"
175658,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY †DAMAGE,C11,351,Sunday,23,Part Three,DORCHESTER AVE,"(42.29977582, -71.06029763)"
175659,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,165,Sunday,23,Part Two,HARRISON AVE,"(42.34285014, -71.06516235)"
175660,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,457,Sunday,21,Part Three,CHARLOTTE ST,"(42.29944216, -71.08489748)"
175662,3115,Investigate Person,INVESTIGATE PERSON,C6,193,Sunday,22,Part Three,DORCHESTER ST,"(42.33025300, -71.05559939)"
175663,3501,Missing Person Reported,MISSING PERSON,A7,24,Sunday,23,Part Three,TRENTON ST,"(42.37817916, -71.03833871)"
175664,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,92,Sunday,22,Part Three,COURT ST,"(42.35892279, -71.05835354)"
175665,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,173,Sunday,21,Part Three,ATLANTIC AVE,"(42.35257100, -71.05542400)"
175666,3410,Towed,TOWED MOTOR VEHICLE,B3,463,Sunday,20,Part Three,BLUE HILL AVE,"(42.29330376, -71.08858990)"
175667,311,Robbery,ROBBERY - COMMERCIAL,B2,329,Sunday,21,Part One,BLUE HILL AVE,"(42.30989454, -71.08231854)"
175668,301,Robbery,ROBBERY - STREET,B2,288,Sunday,21,Part One,MALCOLM X BLVD,"(42.32887600, -71.08513900)"
175669,3301,Verbal Disputes,VERBAL DISPUTE,D4,156,Sunday,21,Part Three,WORCESTER ST,"(42.33841441, -71.07679741)"
175670,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,115,Sunday,1,Part One,BEACH ST,"(42.35064890, -71.05743746)"
175671,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,A1,115,Sunday,1,Part Two,BEACH ST,"(42.35064890, -71.05743746)"
175672,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,792,Sunday,0,Part Two,WOODSTOCK AVE,"(42.34513472, -71.13841346)"
175673,2405,Disorderly Conduct,DISORDERLY CONDUCT,E13,307,Sunday,21,Part Two,HARRISON AVE,"(42.33401829, -71.07638124)"
175674,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,364,Sunday,14,Part Two,LESLIE ST,"(42.29514664, -71.05860832)"
175675,3002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,C6,214,Sunday,21,Part Three,W BROADWAY,"(42.33611200, -71.04665434)"
175676,3301,Verbal Disputes,VERBAL DISPUTE,E18,540,Sunday,20,Part Three,SUNNYSIDE ST,"(42.25235422, -71.13180679)"
175677,1402,Vandalism,VANDALISM,C6,220,Sunday,19,Part Two,G ST,"(42.33285027, -71.04417249)"
175679,724,Auto Theft,AUTO THEFT,D14,938,Sunday,20,Part One,FIDELIS WAY,"(42.34600287, -71.14387725)"
